feature,group,source_a,source_b,jsd
tls_source,tls,hikari2021,iot23_mcfp,
tls_version_id,tls,auto_capture_hf,cesnet_miner22,0.0
tls_version_id,tls,auto_capture_hf,cj_sniffer,0.0
tls_version_id,tls,auto_capture_hf,hikari2021,0.019301
tls_version_id,tls,auto_capture_hf,iot23_mcfp,0.0
tls_version_id,tls,cesnet_miner22,cj_sniffer,0.0
tls_version_id,tls,cesnet_miner22,hikari2021,0.997794
tls_version_id,tls,cesnet_miner22,iot23_mcfp,0.0
tls_version_id,tls,cj_sniffer,hikari2021,0.997794
tls_version_id,tls,cj_sniffer,iot23_mcfp,0.0
tls_version_id,tls,hikari2021,iot23_mcfp,0.997794
tls_version_hash64,tls,auto_capture_hf,cesnet_miner22,0.0
